English,Russian
Justice,Справедливость
Definitely  ,Определенно
Celebrity  ,Знаменитость
Awful,Ужасный
Remark,Примечание
Impolitely  ,Невероятно
Criticize ,Критиковать
Hook,Крюк
Nearest,Ближайший
Government ,Правительство
Recognition ,Признание
Might ,Мощь
Mention,упоминать
Introduce ,представлять
Low – quality  ,низкокачественный
High – quality  ,высококачественный
Fortune,состояние
Figure ,цифра
Fame ,слава
Fear ,страх
much harder,намного усерднее
complaint ,жалоба
have a good time,проводить время
Unexpectedly,неожиданно
Performance ,представление
May,возможно
Casual ,повседневный
Purse ,кошелёк
Patience ,терпение
Incredibly ,невероятно
Bell ,звонок
Beat ,бить
supplier ,поставщик
bravely,отважно
Masterpiece ,шедевр
Independence ,независимость
Heroically ,героически
Forgive ,прощать
Deal,сделка
Courageously,отважно
Bravely ,смело
By accident,случайно
Customers,покупатели
Suppliers ,поставщики
Across,через
Beside,рядом
all of a sudden,внезапный
mostly,в основном
badly,сильно
withdraw,снимать
treasure ,сокровище
sudden ,внезапный
steal ,украсть
shelf ,полка
overcome ,преодолеть
otherwise ,иначе
immediately ,сразу
at once,сразу
hide ,прятать
Cave ,пещера
Blow ,дуть
Just a little bit ,только чуть-чуть
Divide ,делить
Losses ,убытки
Invitation ,приглашение
Destroy ,разрушить
Discribe ,описывать
Appearance,внешность
Criminals ,преступники
At Midday ,полдень
At Noon ,полдень
Lid ,крышка
Highest,высший
Customer ,покупатель
Make an order ,сделать заказ
Look up in ,посмотреть в
During,во время
Peacefully ,мирно
Look up in ,посмотреть
Fortunately,к счастью
Cheek ,щека
Enemy ,враг
Abilities ,способности
Report  ,отчёт
speedy,быстрый
rudely ,грубо
release ,выпускать
recovery ,восстановление
majority ,большинство 
although ,хотя 
ability ,способность
move into ,переехать в
splendid ,великолепный
ridiculous ,смехотворный
suddenly ,внезапно
give up,бросить
notice ,уведомлять
beforehand ,заранее
tiring ,утомительный